canonical_market_id,carver_instrument,globex_asset,trade_date,present_in,missing_from
sp500,SP500,ES,2013-05-27,globex,pysystemtrade
sp500,SP500,ES,2013-07-04,globex,pysystemtrade
sp500,SP500,ES,2013-09-02,globex,pysystemtrade
sp500,SP500,ES,2014-01-20,globex,pysystemtrade
sp500,SP500,ES,2014-02-17,globex,pysystemtrade
sp500,SP500,ES,2014-03-24,globex,pysystemtrade
sp500,SP500,ES,2014-04-04,globex,pysystemtrade
sp500,SP500,ES,2014-04-08,globex,pysystemtrade
sp500,SP500,ES,2014-04-09,globex,pysystemtrade
sp500,SP500,ES,2014-04-24,globex,pysystemtrade
sp500,SP500,ES,2014-04-29,globex,pysystemtrade
sp500,SP500,ES,2014-05-26,globex,pysystemtrade
sp500,SP500,ES,2014-06-12,pysystemtrade,globex
sp500,SP500,ES,2014-06-13,pysystemtrade,globex
sp500,SP500,ES,2014-07-04,globex,pysystemtrade
sp500,SP500,ES,2014-07-31,globex,pysystemtrade
sp500,SP500,ES,2014-08-01,globex,pysystemtrade
sp500,SP500,ES,2014-08-04,globex,pysystemtrade
sp500,SP500,ES,2014-08-05,globex,pysystemtrade
sp500,SP500,ES,2014-09-01,globex,pysystemtrade
sp500,SP500,ES,2014-09-23,pysystemtrade,globex
sp500,SP500,ES,2014-09-24,pysystemtrade,globex
sp500,SP500,ES,2014-09-25,pysystemtrade,globex
sp500,SP500,ES,2014-12-25,globex,pysystemtrade
sp500,SP500,ES,2014-12-26,globex,pysystemtrade
sp500,SP500,ES,2014-12-31,pysystemtrade,globex
sp500,SP500,ES,2015-01-01,globex,pysystemtrade
sp500,SP500,ES,2015-04-03,globex,pysystemtrade
sp500,SP500,ES,2015-09-01,globex,pysystemtrade
sp500,SP500,ES,2015-10-29,globex,pysystemtrade
sp500,SP500,ES,2015-10-30,globex,pysystemtrade
sp500,SP500,ES,2015-12-18,globex,pysystemtrade
sp500,SP500,ES,2015-12-24,globex,pysystemtrade
sp500,SP500,ES,2016-12-26,globex,pysystemtrade
sp500,SP500,ES,2017-01-02,globex,pysystemtrade
sp500,SP500,ES,2017-07-10,globex,pysystemtrade
sp500,SP500,ES,2017-07-11,globex,pysystemtrade
sp500,SP500,ES,2017-11-29,globex,pysystemtrade
sp500,SP500,ES,2021-01-18,globex,pysystemtrade
sp500,SP500,ES,2021-02-15,globex,pysystemtrade
sp500,SP500,ES,2021-04-02,globex,pysystemtrade
sp500,SP500,ES,2021-05-31,globex,pysystemtrade
sp500,SP500,ES,2021-07-05,globex,pysystemtrade
sp500,SP500,ES,2021-09-06,globex,pysystemtrade
sp500,SP500,ES,2021-11-25,globex,pysystemtrade
sp500,SP500,ES,2022-01-17,globex,pysystemtrade
sp500,SP500,ES,2022-02-21,globex,pysystemtrade
sp500,SP500,ES,2022-05-30,globex,pysystemtrade
sp500,SP500,ES,2022-06-20,globex,pysystemtrade
sp500,SP500,ES,2022-07-04,globex,pysystemtrade
sp500,SP500,ES,2022-09-05,globex,pysystemtrade
sp500,SP500,ES,2022-11-24,globex,pysystemtrade
sp500,SP500,ES,2022-12-26,globex,pysystemtrade
sp500,SP500,ES,2023-01-02,globex,pysystemtrade
sp500,SP500,ES,2023-01-16,globex,pysystemtrade
sp500,SP500,ES,2023-02-20,globex,pysystemtrade
sp500,SP500,ES,2023-04-07,globex,pysystemtrade
sp500,SP500,ES,2023-05-29,globex,pysystemtrade
sp500,SP500,ES,2023-06-19,globex,pysystemtrade
sp500,SP500,ES,2023-07-04,globex,pysystemtrade
sp500,SP500,ES,2023-09-04,globex,pysystemtrade
sp500,SP500,ES,2023-11-23,globex,pysystemtrade
sp500,SP500,ES,2023-12-25,globex,pysystemtrade
sp500,SP500,ES,2024-01-01,globex,pysystemtrade
sp500,SP500,ES,2024-01-15,globex,pysystemtrade
sp500,SP500,ES,2024-02-19,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2013-05-27,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2013-07-04,globex,pysystemtrade
