canonical_market_id,carver_instrument,globex_asset,carver_roll_date,carver_from_contract,carver_to_contract,nearest_globex_roll_date,globex_from_contract,globex_to_contract,roll_date_distance_days
sp500,SP500,ES,2010-06-14,20100600,20100900,2010-06-11,20100600,20100900,3
sp500,SP500,ES,2010-09-14,20100900,20101200,2010-09-10,20100900,20101200,4
sp500,SP500,ES,2010-12-14,20101200,20110300,2010-12-10,20101200,20110300,4
sp500,SP500,ES,2011-03-14,20110300,20110600,2011-03-11,20110300,20110600,3
sp500,SP500,ES,2011-06-14,20110600,20110900,2011-06-10,20110600,20110900,4
sp500,SP500,ES,2011-09-13,20110900,20111200,2011-09-09,20110900,20111200,4
sp500,SP500,ES,2011-12-13,20111200,20120300,2011-12-09,20111200,20120300,4
sp500,SP500,ES,2012-03-13,20120300,20120600,2012-03-09,20120300,20120600,4
sp500,SP500,ES,2012-06-13,20120600,20120900,2012-06-08,20120600,20120900,5
sp500,SP500,ES,2012-09-12,20120900,20121200,2012-09-14,20120900,20121200,2
sp500,SP500,ES,2012-12-12,20121200,20130300,2012-12-14,20121200,20130300,2
sp500,SP500,ES,2013-03-13,20130300,20130600,2013-03-08,20130300,20130600,5
sp500,SP500,ES,2013-06-12,20130600,20130900,2013-06-14,20130600,20130900,2
sp500,SP500,ES,2013-09-12,20130900,20131200,2013-09-13,20130900,20131200,1
sp500,SP500,ES,2013-12-12,20131200,20140300,2013-12-13,20131200,20140300,1
sp500,SP500,ES,2014-03-12,20140300,20140600,2014-03-14,20140300,20140600,2
sp500,SP500,ES,2014-06-12,20140600,20140900,2014-06-16,20140600,20140900,4
sp500,SP500,ES,2014-09-12,20140900,20141200,2014-09-12,20140900,20141200,0
sp500,SP500,ES,2014-12-12,20141200,20150300,2014-12-12,20141200,20150300,0
sp500,SP500,ES,2015-03-12,20150300,20150600,2015-03-13,20150300,20150600,1
sp500,SP500,ES,2015-06-12,20150600,20150900,2015-06-12,20150600,20150900,0
sp500,SP500,ES,2015-09-14,20150900,20151200,2015-09-11,20150900,20151200,3
sp500,SP500,ES,2015-12-14,20151200,20160300,2015-12-11,20151200,20160300,3
sp500,SP500,ES,2016-03-14,20160300,20160600,2016-03-11,20160300,20160600,3
sp500,SP500,ES,2016-06-14,20160600,20160900,2016-06-10,20160600,20160900,4
sp500,SP500,ES,2016-09-13,20160900,20161200,2016-09-09,20160900,20161200,4
sp500,SP500,ES,2016-12-13,20161200,20170300,2016-12-09,20161200,20170300,4
sp500,SP500,ES,2017-03-14,20170300,20170600,2017-03-10,20170300,20170600,4
sp500,SP500,ES,2017-06-13,20170600,20170900,2017-06-09,20170600,20170900,4
sp500,SP500,ES,2017-09-13,20170900,20171200,2017-09-08,20170900,20171200,5
sp500,SP500,ES,2017-12-13,20171200,20180300,2017-12-08,20171200,20180300,5
sp500,SP500,ES,2018-03-13,20180300,20180600,2018-03-12,20180300,20180600,1
sp500,SP500,ES,2018-06-12,20180600,20180900,2018-06-11,20180600,20180900,1
sp500,SP500,ES,2018-09-11,20180900,20181200,2018-09-14,20180900,20181200,3
sp500,SP500,ES,2018-12-14,20181200,20190300,2018-12-14,20181200,20190300,0
sp500,SP500,ES,2019-03-12,20190300,20190600,2019-03-08,20190300,20190600,4
sp500,SP500,ES,2019-06-11,20190600,20190900,2019-06-14,20190600,20190900,3
sp500,SP500,ES,2019-09-11,20190900,20191200,2019-09-13,20190900,20191200,2
sp500,SP500,ES,2019-12-10,20191200,20200300,2019-12-13,20191200,20200300,3
sp500,SP500,ES,2020-03-10,20200300,20200600,2020-03-16,20200300,20200600,6
sp500,SP500,ES,2020-06-10,20200600,20200900,2020-06-15,20200600,20200900,5
sp500,SP500,ES,2020-09-10,20200900,20201200,2020-09-11,20200900,20201200,1
sp500,SP500,ES,2020-12-10,20201200,20210300,2020-12-11,20201200,20210300,1
sp500,SP500,ES,2021-03-10,20210300,20210600,2021-03-12,20210300,20210600,2
sp500,SP500,ES,2021-06-10,20210600,20210900,2021-06-11,20210600,20210900,1
sp500,SP500,ES,2021-09-10,20210900,20211200,2021-09-10,20210900,20211200,0
sp500,SP500,ES,2021-12-13,20211200,20220300,2021-12-10,20211200,20220300,3
sp500,SP500,ES,2022-03-08,20220300,20220600,2022-03-11,20220300,20220600,3
sp500,SP500,ES,2022-06-10,20220600,20220900,2022-06-13,20220600,20220900,3
sp500,SP500,ES,2022-09-02,20220900,20221200,2022-09-12,20220900,20221200,10
sp500,SP500,ES,2022-12-13,20221200,20230300,2022-12-12,20221200,20230300,1
sp500,SP500,ES,2023-03-02,20230300,20230600,2023-03-13,20230300,20230600,11
sp500,SP500,ES,2023-05-26,20230600,20230900,2023-06-12,20230600,20230900,17
sp500,SP500,ES,2023-09-06,20230900,20231200,2023-09-11,20230900,20231200,5
sp500,SP500,ES,2023-12-08,20231200,20240300,2023-12-11,20231200,20240300,3
sp500,SP500,ES,2024-03-14,20240300,20240600,2024-03-11,20240300,20240600,3
nasdaq,NASDAQ,NQ,2010-06-14,20100600,20100900,2010-06-11,20100600,20100900,3
nasdaq,NASDAQ,NQ,2010-09-14,20100900,20101200,2010-09-10,20100900,20101200,4
nasdaq,NASDAQ,NQ,2010-12-14,20101200,20110300,2010-12-10,20101200,20110300,4
nasdaq,NASDAQ,NQ,2011-03-14,20110300,20110600,2011-03-11,20110300,20110600,3
