canonical_market_id,carver_instrument,globex_asset,carver_hold_roll_cycle,globex_active_months,history_schema_version,carver_source_git_commit,globex_dataset_fingerprint,review_status,usage_status,carver_date_alignment,carver_date_alignment_through,date_alignment_collapsed_rows,unaligned_shift_0_return_correlation,unaligned_best_return_correlation,overlap_start,overlap_end,carver_dates,globex_dates,common_dates,carver_only_dates,globex_only_dates,same_day_nonroll_return_correlation,shift_minus_1_return_correlation,shift_0_return_correlation,shift_plus_1_return_correlation,best_globex_shift_days,best_nonroll_return_correlation,best_shift_common_returns,shift_minus_1_volatility_correlation,shift_0_volatility_correlation,shift_plus_1_volatility_correlation,best_volatility_shift_days,best_volatility_correlation,best_shift_common_volatilities,carver_annualized_volatility,globex_annualized_volatility,trend_signal_correlation,trend_direction_agreement,contract_month_agreement,carver_rolls,globex_rolls,matched_carver_rolls,rolls_within_5_days,median_roll_distance_days,known_issue,notes,automated_recommendation
brl,BRE,6L,FGHJKMNQUVXZ,"",5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-14,2024-03-28,3526,2320,2298,1228,22,0.4615434989735548,-0.01919119789752394,0.4615434989735548,0.23119366530513666,0,0.4615434989735548,2162,0.3633011929408824,0.379340262797423,0.38592773850339906,1,0.38592773850339906,1829,0.16569150259740095,0.21272433180081454,0.9597903262217311,0.948780487804878,0.06222802436901654,165,105,165,77,7.0,Existing Globex 6L sticky-anchor issue remains unresolved,CME Brazilian real,investigate_known_issue
corn,CORN,ZC,Z,HKNZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3459,3482,3431,28,51,0.8515546201796605,0.039802840007377646,0.8515546201796607,0.11874335976772932,0,0.8515546201796607,3374,0.9350074743745596,0.945523833676515,0.935897012902609,0,0.945523833676515,3411,0.23160607752262213,0.2511040730450488,0.9613674399495283,0.9340659340659341,0.35674730399300497,14,54,14,0,35.5,Carver CORN holds only the annual December contract; Globex ZC selects the liquid front contract,CBOT corn underlying,investigate_known_issue
crude_wti,CRUDE_W,CL,Z,FGHJKMNQUVXZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3508,3580,3503,5,77,0.7549333189642106,-0.04045717473766232,0.7549333189642105,0.1307521036130469,0,0.7549333189642105,3332,0.8222688377613544,0.8297410372598052,0.8247491780426077,0,0.8297410372598052,3483,0.2941704578114991,0.39921154692085314,0.9577437619270942,0.9116564417177914,0.0,14,166,14,10,4.0,Carver CRUDE_W holds the annual December winter contract while Globex CL selects the liquid monthly front contract,WTI crude underlying,investigate_known_issue
gold,GOLD,GC,GJMQVZ,GJMQZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3491,3579,3484,7,95,0.8641832044502853,-0.057037668597239584,0.8641832044502853,0.12365826307959238,0,0.8641832044502853,3382,0.9428468894484922,0.9628136585410317,0.9615814507000079,0,0.9628136585410317,3464,0.15876029394689914,0.1549975730415849,0.976664473448495,0.9441530391854366,0.7804247990815155,83,69,83,52,4.0,"",COMEX gold,investigate
jpy,JPY,6J,HMUZ,HMUZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3504,3577,3498,6,79,0.9067704822139853,-0.001276414511917927,0.9067704822139854,0.08449740399015634,0,0.9067704822139854,3425,0.9426114102041231,0.9578424988693764,0.9476458392269513,0,0.9578424988693764,3478,0.08921701359625599,0.09014422864402254,0.9823509999497926,0.9600123039064903,0.968839336763865,56,56,56,49,3.0,"",CME Japanese yen,proceed_to_manual_review
mxn,MXP,6M,HMUZ,HMUZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3499,3575,3491,8,84,0.8454728667428447,-0.02319023011004433,0.8454728667428446,0.13748853599615263,0,0.8454728667428446,3422,0.9323402171493359,0.9449496429287545,0.9367525177531397,0,0.9449496429287545,3471,0.12381643673985321,0.12112125800262033,0.9856122109820127,0.9630086313193588,0.970495560011458,56,56,56,52,3.0,"",CME Mexican peso,investigate
nasdaq,NASDAQ,NQ,HMUZ,HMUZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3515,3577,3509,6,68,0.8366717927571529,-0.06566103404818383,0.8366717927571532,0.08930146594776105,0,0.8366717927571532,3435,0.9611725401910559,0.9709217446059485,0.9681894830773099,0,0.9709217446059485,3489,0.19666586676039036,0.2018837271037308,0.9883452188098895,0.9800429843414185,0.9649472784269022,56,56,56,49,4.0,"",Nasdaq-100 full-size signal history,investigate
silver,SILVER,SI,HKNUZ,HKNUZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,previous_globex_session,2021-06-30,7,0.36133857869254815,0.6462089696445136,2010-06-07,2024-03-28,3555,3579,3555,0,24,0.812733119714378,0.1592138825778804,0.812733119714378,0.023500002644700892,0,0.812733119714378,3416,0.9094557361929487,0.9182187433195257,0.9049147856502521,0,0.9182187433195257,3535,0.29946446660270726,0.28953277872314376,0.9870786057795133,0.9642749016046018,0.8073136427566807,69,69,69,23,16.0,Point-scale reconciliation remains required,COMEX silver; legacy observations are aligned to the preceding actual SI session through June 2021,investigate_known_issue
soybean_oil,SOYOIL,ZL,FHKNQUVZ,FHKNZ,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3485,3482,3482,3,0,0.5350272205184371,0.05019124643681697,0.5350272205184371,0.48940077876627464,0,0.5350272205184371,3403,0.9273358018787812,0.9350740739383271,0.9301986817173106,0,0.9350740739383271,3462,0.2281747505243994,0.23098122001989585,0.9883556333546918,0.9736842105263158,0.34175761056863874,111,69,111,3,18.0,Carver SOYOIL and Globex ZL use materially different roll cycles,CBOT soybean-oil underlying,investigate_known_issue
soybeans,SOYBEAN,ZS,X,FHKNX,5,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,1695035392-1785345649000000000,candidate,signal_research,none,,0,,,2010-06-07,2024-03-28,3478,3482,3465,13,17,0.8680078632876733,-0.013445446111526654,0.8680078632876735,0.035774914891107915,0,0.8680078632876735,3388,0.9185198476805709,0.9307828034958396,0.9181116237444441,0,0.9307828034958396,3445,0.17983965750324338,0.20288909388152188,0.9341048487117293,0.898320895522388,0.2222222222222222,14,69,14,0,42.0,Carver SOYBEAN holds only the annual November contract; Globex ZS selects the liquid front contract,CBOT soybean underlying,investigate_known_issue
