scheme,start,end,window_years,sharpe,mtm_sharpe,ret_pct,total_pnl,win_rate,max_dd_pct,max_dd_usd,total_trades,cum_avg_sharpe,cum_avg_ret_pct,timestamp,strategy,period,quantity,dte_target,dte_range,delta_target,delta_range,initial_capital,final_capital,avg_ret_pur,avg_ret_pp,avg_win,max_win,avg_loss,max_loss,winning_trades,avg_days_held,peak_capital,trough_capital,dd_duration,execution_time,max_positions,early_close_after_dit,early_close_on_dte,leverage,max_margin,max_spread_width,max_trade_loss,param_string,vix_range,vix_max,use_iv,sl,tp,avg_premium,trade_selection,premium_ratio,short_delta_target,long_delta_target
A_rolling_90d_slide,2010-01-01,2011-01-01,0.999,0.41215113687557753,0.2537054559190217,0.17,173.84,0.73,0.66,662.06,11,,,2026-07-10 22:26:57,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100173.84,0.02,0.0,163.44,234.94,-377.89,-662.06,8,20.8,100108.32,99446.26,7,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2011-01-01,,,"","","",220.82,premium first,,"",""
A_rolling_90d_slide,2010-04-01,2011-04-01,0.999,0.19755716405653914,0.3947151895568899,0.28,282.78,0.75,0.66,662.06,12,,,2026-07-10 22:26:57,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100282.78,0.03,0.0,161.33,234.94,-389.73,-662.06,9,20.8,100117.44,99455.38,7,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-04-01:2011-04-01,,,"","","",223.21,premium first,,"",""
A_rolling_90d_slide,2010-06-30,2011-06-30,0.999,0.1261190915680688,0.4318225482562629,0.31,314.78,0.67,0.60,607.62,12,,,2026-07-10 22:26:58,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100314.78,0.04,0.0,157.38,234.94,-236.06,-408.56,8,20.8,100922.4,100314.78,2,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-06-30:2011-06-30,,,"","","",224.17,premium first,,"",""
A_rolling_90d_slide,2010-09-28,2011-09-28,0.999,-0.7501892704500193,-0.36360748795196624,-0.32,-322.72,0.5,1.14,1148.30,12,,,2026-07-10 22:26:59,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,99677.28,-0.03,-0.0,139.77,170.94,-193.56,-454.06,6,20.8,100825.58,99677.28,4,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-09-28:2011-09-28,,,"","","",222.54,premium first,,"",""
A_rolling_90d_slide,2010-12-27,2011-12-27,0.999,-1.473777289808035,-0.7844460804994569,-0.72,-720.72,0.5,1.14,1148.92,12,,,2026-07-10 22:26:59,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,99279.28,-0.08,-0.01,91.86,166.94,-211.98,-454.06,6,20.9,100351.26,99202.34,7,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-12-27:2011-12-27,,,"","","",224.04,premium first,,"",""
A_rolling_90d_slide,2011-03-27,2012-03-26,0.999,-0.7669535442073501,-0.5115953570175266,-0.45,-447.22,0.58,1.15,1148.92,12,,,2026-07-10 22:27:00,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,99552.78,-0.05,-0.0,115.94,192.94,-251.76,-454.06,7,20.8,100080.94,98932.02,10,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2011-03-27:2012-03-26,,,"","","",220.83,premium first,,"",""
A_rolling_90d_slide,2011-06-25,2012-06-24,0.999,-0.5325257410346029,-0.46127297431680303,-0.45,-446.22,0.58,0.71,712.12,12,,,2026-07-10 22:27:00,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,99553.78,-0.05,-0.0,133.8,192.94,-276.56,-454.56,7,21.1,100088.46,99376.34,8,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2011-06-25:2012-06-24,,,"","","",225.58,premium first,,"",""
A_rolling_90d_slide,2011-09-23,2012-09-22,0.999,0.4237796658115625,0.5411836174656954,0.39,386.28,0.75,0.71,712.12,12,,,2026-07-10 22:27:01,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100386.28,0.05,0.0,142.5,268.44,-298.73,-454.56,9,20.8,100563.64,99851.52,5,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2011-09-23:2012-09-22,,,"","","",233.5,premium first,,"",""
A_rolling_90d_slide,2011-12-22,2012-12-21,0.999,0.5521970597235999,0.7594324228288357,0.54,543.78,0.83,0.71,712.12,12,,,2026-07-10 22:27:02,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100543.78,0.06,0.01,125.59,291.44,-356.06,-454.56,10,20.7,100512.82,99800.7,8,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2011-12-22:2012-12-21,,,"","","",228.96,premium first,,"",""
A_rolling_90d_slide,2012-03-21,2013-03-21,0.999,1.3392844447231158,0.6502065607321483,0.53,529.78,0.83,0.71,712.12,12,,,2026-07-10 22:27:02,bull put credit spread,0.999,1,"[45, 45]","","[0.3, null]","",100000,100529.78,0.06,0.01,124.19,291.44,-356.06,-454.56,10,20.8,100000.0,99287.88,8,"",1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2012-03-21:2013-03-21,,,"","","",232.54,premium first,,"",""
