scheme,start,end,window_years,sharpe,mtm_sharpe,ret_yr,roi,total_pnl,win_rate,max_dd_pct,max_dd_usd,total_trades,cum_avg_sharpe,cum_avg_ret_yr,timestamp,symbol,futures_strategy,period,quantity,fill_price,initial_capital,final_capital,avg_win,max_win,avg_loss,max_loss,winning_trades,avg_days_held,peak_capital,trough_capital,dd_duration,execution_time,leverage,avg_margin_utilization,total_fees,ts_exit_threshold,ts_entry_threshold,exit_on_ts_crossover,param_string
A_rolling_90d_slide,2010-01-01,2011-01-01,0.999,2.902667920874571,,26.29,8.76,1801.43,1.0,-0.46,-1160.0,3,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,251801.43,600.48,1215.06,0.0,225.06,3,63.3,250630.01,249470.01,38,"",1.0,0.0274,7.32,,,false,MES_LONG_FUTURES_2010-01-01:2011-01-01
A_rolling_90d_slide,2010-04-01,2011-04-01,0.999,2.993984203635119,,33.99,8.49,2328.99,1.0,-0.46,-1160.0,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,252328.99,582.25,1215.06,0.0,225.06,4,70.2,250630.01,249470.01,38,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2010-04-01:2011-04-01
A_rolling_90d_slide,2010-06-30,2011-06-30,0.999,1.4353321345275778,,34.52,8.62,2365.24,0.75,-0.37,-945.0,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,252365.24,868.39,1215.06,-239.94,-239.94,3,87.0,253291.38,252346.38,55,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2010-06-30:2011-06-30
A_rolling_90d_slide,2010-09-28,2011-09-28,0.999,-0.7331161758488096,,1.9,0.47,130.24,0.5,-1.03,-2587.34,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,250130.24,788.81,1050.06,-723.69,-1207.44,2,87.2,252263.82,249676.48,130,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2010-09-28:2011-09-28
A_rolling_90d_slide,2010-12-27,2011-12-27,0.999,-0.3361393448404117,,-1.11,-0.28,-76.01,0.5,-1.1,-2767.28,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,249923.99,685.68,923.81,-723.69,-1207.44,2,87.5,251133.76,248366.48,205,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2010-12-27:2011-12-27
A_rolling_90d_slide,2011-03-27,2012-03-26,0.999,0.5087548330612555,,8.61,2.15,590.24,0.5,-1.1,-2767.28,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,250590.24,1093.81,1263.81,-798.69,-1207.44,2,87.8,250536.2,247768.92,248,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2011-03-27:2012-03-26
A_rolling_90d_slide,2011-06-25,2012-06-24,0.999,1.3321896531873456,,9.09,2.27,622.74,0.5,-1.05,-2639.89,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,250622.74,1093.81,1263.81,-782.44,-1116.19,2,87.8,250890.0,248250.11,187,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2011-06-25:2012-06-24
A_rolling_90d_slide,2011-09-23,2012-09-22,0.999,1.4628448051556193,,49.68,12.41,3403.99,0.75,-0.6,-1517.5,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,253403.99,1284.23,1361.31,-448.69,-448.69,3,90.0,252947.57,251430.07,140,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2011-09-23:2012-09-22
A_rolling_90d_slide,2011-12-22,2012-12-21,0.999,0.36212207674675195,,26.39,6.59,1807.74,0.5,-0.6,-1517.5,4,,,2026-07-17 21:49:39,MES,long_futures,0.999,2,mid,250000.0,251807.74,1314.43,1361.31,-410.56,-448.69,2,90.2,251723.76,250206.26,140,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2011-12-22:2012-12-21
A_rolling_90d_slide,2012-03-21,2013-03-21,0.999,1.5932487534195654,,21.95,5.49,1503.99,0.5,-0.61,-1517.5,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,251503.99,1313.18,1361.31,-561.19,-749.94,2,88.8,250155.0,248637.5,140,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2012-03-21:2013-03-21
A_rolling_90d_slide,2012-06-19,2013-06-19,0.999,1.3933111676676804,,42.22,10.54,2892.74,0.75,-0.46,-1162.39,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,252892.74,1088.39,1265.06,-372.44,-372.44,3,90.8,251195.0,250032.61,98,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2012-06-19:2013-06-19
A_rolling_90d_slide,2012-09-17,2013-09-17,0.999,5.903788407433055,,34.94,8.73,2393.99,0.75,-0.45,-1120.0,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,252393.99,922.14,1265.06,-372.44,-372.44,3,91.0,250006.3,248886.3,93,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2012-09-17:2013-09-17
A_rolling_90d_slide,2012-12-16,2013-12-16,0.999,6.80298764991104,,51.65,10.32,3539.05,1.0,-0.38,-964.89,5,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,253539.05,707.81,1265.06,0.0,31.31,5,73.0,252445.07,251480.18,42,"",1.0,0.0274,12.2,,,false,MES_LONG_FUTURES_2012-12-16:2013-12-16
A_rolling_90d_slide,2013-03-16,2014-03-16,0.999,25.084656754218006,,34.39,11.45,2356.43,1.0,-0.38,-964.94,3,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,252356.43,785.48,967.56,0.0,647.56,3,91.3,251262.5,250297.56,79,"",1.0,0.0274,7.32,,,false,MES_LONG_FUTURES_2013-03-16:2014-03-16
A_rolling_90d_slide,2013-06-14,2014-06-14,0.999,33.22679704153611,,31.62,7.9,2166.49,1.0,-0.42,-1067.5,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,252166.49,541.62,741.31,0.0,47.56,4,69.0,252135.13,251067.63,82,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2013-06-14:2014-06-14
A_rolling_90d_slide,2013-09-12,2014-09-12,0.999,31.445562704627484,,36.05,9.01,2470.24,1.0,-0.42,-1067.5,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,252470.24,617.56,837.56,0.0,161.31,4,69.2,251601.32,250533.82,81,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2013-09-12:2014-09-12
A_rolling_90d_slide,2013-12-11,2014-12-11,0.999,8.7013909031849,,27.37,6.84,1875.24,0.75,-0.43,-1067.5,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,251875.24,683.39,837.56,-174.94,-174.94,3,69.5,250523.76,249456.26,80,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2013-12-11:2014-12-11
A_rolling_90d_slide,2014-03-11,2015-03-11,0.999,3.5258458768658985,,18.56,4.64,1271.49,0.75,-0.67,-1682.5,4,,,2026-07-17 21:49:40,MES,long_futures,0.999,2,mid,250000.0,251271.49,500.06,837.56,-228.69,-228.69,3,69.8,251422.73,249740.23,81,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2014-03-11:2015-03-11
A_rolling_90d_slide,2014-06-09,2015-06-09,0.999,4.3925219211767175,,16.33,4.08,1118.99,0.75,-0.67,-1682.5,4,,,2026-07-17 21:49:41,MES,long_futures,0.999,2,mid,250000.0,251118.99,429.23,625.06,-168.69,-168.69,3,70.0,250645.17,248962.67,85,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2014-06-09:2015-06-09
A_rolling_90d_slide,2014-09-07,2015-09-07,0.999,2.9076920152307304,,10.8,2.7,740.24,0.75,-0.67,-1682.5,4,,,2026-07-17 21:49:41,MES,long_futures,0.999,2,mid,250000.0,250740.24,325.48,625.06,-236.19,-236.19,3,70.2,250095.11,248412.61,93,"",1.0,0.0274,9.76,,,false,MES_LONG_FUTURES_2014-09-07:2015-09-07
