scheme,start,end,window_years,sharpe,mtm_sharpe,ret_yr,total_pnl,win_rate,max_dd_pct,max_dd_usd,total_trades,cum_avg_sharpe,cum_avg_ret_yr,timestamp,strategy,period,quantity,dte_target,dte_range,delta_target,delta_range,initial_capital,final_capital,roi,avg_win,max_win,avg_loss,max_loss,winning_trades,avg_days_held,peak_capital,trough_capital,dd_duration,execution_time,max_positions,early_close_after_dit,early_close_on_dte,leverage,max_margin,max_spread_width,max_trade_loss,param_string,vix_range,vix_max,use_iv,sl,tp,avg_premium,trade_selection,premium_ratio,short_delta_target,long_delta_target
A_rolling_90d_slide,2010-01-01,2011-01-01,0.999,-1.945168388385745,-0.9640354055176468,-220.33,-1237.22,0.33,1.65,1655.10,6,,,2026-07-12 00:30:13,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,98762.78,-36.21,432.88,447.88,-525.75,-637.12,2,44.8,100417.88,98762.78,4,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2010-01-01:2011-01-01,,,"","","",437.92,premium first,,"",""
A_rolling_90d_slide,2010-04-01,2011-04-01,0.999,0.5145434319282252,-0.10846181606210713,-26.85,-152.72,0.5,0.84,838.24,6,,,2026-07-12 00:30:14,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,99847.28,-2.42,434.21,468.88,-485.12,-617.12,3,44.8,100277.64,99439.4,2,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2010-04-01:2011-04-01,,,"","","",430.67,premium first,,"",""
A_rolling_90d_slide,2010-06-30,2011-06-30,0.999,-1.975086214204482,-0.9658615595931132,-218.24,-1218.72,0.33,1.66,1666.60,6,,,2026-07-12 00:30:14,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,98781.28,-35.23,442.38,447.88,-525.87,-626.12,2,44.8,100447.88,98781.28,4,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2010-06-30:2011-06-30,,,"","","",441.0,premium first,,"",""
A_rolling_90d_slide,2010-09-28,2011-09-28,0.999,1.2141495976244607,0.5296071025889622,141.04,794.78,0.67,0.84,838.24,6,,,2026-07-12 00:30:15,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,100794.78,24.71,408.25,486.88,-419.12,-597.12,4,44.8,100000.0,99161.76,4,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2010-09-28:2011-09-28,,,"","","",435.92,premium first,,"",""
A_rolling_90d_slide,2010-12-27,2011-12-27,0.999,-0.2141084878439722,-1.0762998377072455,-167.03,-910.84,0.43,1.39,1388.98,7,,,2026-07-12 00:30:16,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,99089.16,-21.48,462.38,477.38,-574.5,-626.12,3,44.6,100000.0,98611.02,6,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2010-12-27:2011-12-27,,,"","","",454.14,premium first,,"",""
A_rolling_90d_slide,2011-03-27,2012-03-26,0.999,0.28163655575604435,0.41930315904795284,123.11,653.78,0.67,0.57,572.12,6,,,2026-07-12 00:30:16,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,100653.78,18.11,424.5,486.88,-522.12,-572.12,4,44.8,101225.9,100653.78,1,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2011-03-27:2012-03-26,,,"","","",468.42,premium first,,"",""
A_rolling_90d_slide,2011-06-25,2012-06-24,0.999,-0.34855803687470077,-0.6431491114320782,-193.42,-1025.34,0.43,1.27,1271.72,7,,,2026-07-12 00:30:17,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,98974.66,-26.06,398.88,477.38,-555.5,-601.62,3,44.3,100000.0,98728.28,6,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2011-06-25:2012-06-24,,,"","","",469.36,premium first,,"",""
A_rolling_90d_slide,2011-09-23,2012-09-22,0.999,-1.2235718328577614,-1.0924518659672195,-333.91,-1775.34,0.29,1.78,1776.10,7,,,2026-07-12 00:30:18,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,98224.66,-47.3,359.63,472.88,-498.92,-576.12,2,44.6,100000.76,98224.66,4,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2011-09-23:2012-09-22,,,"","","",467.79,premium first,,"",""
A_rolling_90d_slide,2011-12-22,2012-12-21,0.999,-1.1294289780996138,-1.1750761682570372,-311.1,-1683.34,0.29,2.15,2150.72,7,,,2026-07-12 00:30:18,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,98316.66,-43.46,356.88,467.38,-479.42,-576.12,2,44.1,100000.0,97849.28,6,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2011-12-22:2012-12-21,,,"","","",458.36,premium first,,"",""
A_rolling_90d_slide,2012-03-21,2013-03-21,0.999,-0.2854516664605053,-1.064086778410937,-163.97,-904.34,0.43,1.33,1328.72,7,,,2026-07-12 00:30:19,iron condor,0.999,1,"[45, 45, 45, 45]","","[null, 0.25, 0.25, null]","",100000,99095.66,-22.09,379.38,467.38,-510.62,-592.12,3,44.4,100000.0,98671.28,6,"",1,,,1.0,0.8,10,7500,IRON_CONDOR_SPREAD_45_2012-03-21:2013-03-21,,,"","","",447.93,premium first,,"",""
